h,T,lambda,M,s
5442.586082,-40515503.45,0.0001715,1.300649355,-0.000515203
21932.63596,-25738576.13,0.000255,1.857195363,-0.000181247
31219.29207,-26425766.76,0.0002549,1.868865319,-0.000192994
10047.30496,-21402426.76,0.0002549,1.842259816,-0.000107853
2397.227493,-9200546.889,2.39E-04,1.725591445,8.31585E-05
15577.06856,-9862065.527,0.0002549,1.849208722,8.77463E-05
28124.04618,-58627103.36,0.000255,1.865158719,-0.00073868
3888.200354,-90335931.46,1.40E-06,0.128594057,-0.001529717
12735.05082,-75084634.39,0.0002546,1.843807337,-0.001018021
7241.407672,-53467086.9,0.0001936,1.454433821,-0.000712622
27995.15816,-27383474.41,0.0002549,1.864996753,-0.000209227
27500.11174,-64126233.94,0.0002549,1.86419166,-0.000831985
19135.18281,-43557660.65,0.0002549,1.85367998,-0.000483365
28241.1091,-57898082.62,0.000255,1.865305824,-0.000726323
15213.52325,-75297134.28,0.0002549,1.848385877,-0.001021323
30984.27656,-40432865.44,0.000255,1.86856999,-0.000430303
21458.91092,-19664213.73,0.000255,1.856600063,-7.82918E-05
23532.93177,-19189752.94,0.000255,1.859206354,-7.025E-05
29113.37033,-96025148.02,0.0002549,1.86621894,-0.001372645
30075.28326,-44997217.4,0.000255,1.867610716,-0.000507665
12694.6876,-65364692.03,0.0002548,1.845220615,-0.000853076
20109.91513,-9363363.779,0.000255,1.854904865,9.62989E-05
11577.47672,-41496774.16,0.0002548,1.843999686,-0.000448535
15622.4253,-106185148.6,0.0002506,1.825292719,-0.001549148
24174.05603,-5810888.208,0.0002549,1.860195015,0.00015641
8088.913143,-91646903.47,5.00E-06,0.263070828,-0.001548337
1211.496373,-107095872,1.00E-07,0.040684411,-0.001815084
25994.58232,-93943701.58,0.0002549,1.862116756,-0.001337366
4406.087823,-63958080.12,2.00E-06,0.159439853,-0.001082035
25073.00439,-112120127.6,0.0002548,1.860958667,-0.001645541
28212.58645,-82643272.27,0.0002549,1.865086982,-0.001145833
29793.00202,-46817187.51,0.000255,1.867255991,-0.000538512
2185.205192,-72319058.94,4.00E-07,0.07814201,-0.001225347
15380.86528,-36049344.81,0.0002549,1.848962165,-0.000356106
5448.938526,-685423.2326,0.0002549,1.836481338,0.000243283
22779.80284,-71939338.87,0.0002549,1.858259945,-0.000964411
22994.82724,-106551084.6,0.0002548,1.858164152,-0.001551151
10854.15042,-2297375.224,0.0002549,1.843273728,0.000215961
9661.1903,-70825449.6,0.0002106,1.57276461,-0.000989831
7837.159534,-18283682.62,0.0002548,1.839299465,-5.50929E-05
10549.88798,-53541334.36,0.0002548,1.84234238,-0.00065268
13837.90973,-103071497.7,0.0001948,1.49584623,-0.001552175
4300.851574,-71383924.66,1.70E-06,0.151438609,-0.001208197
3481.651699,-28751555,8.68E-05,0.714964173,-0.000400514
2975.201789,-82100007.91,8.00E-07,0.101826749,-0.001390726
12684.46003,-35097610.74,0.0002549,1.845573763,-0.000339975
11080.60754,-116987701.4,7.80E-06,0.329782302,-0.001975042
2756.606473,-9945718.053,2.47E-04,1.781126054,7.85285E-05
15048.24405,-79750561.53,0.0002548,1.848178181,-0.001096904
6409.812907,-5123976.23,0.0002549,1.837688808,0.000168053
15064.72594,-348196.9886,0.0002549,1.848747893,0.000248998
17792.46009,-21940559.03,0.0002549,1.851992665,-0.000116974
26846.25277,-100191942.3,0.0002549,1.863369996,-0.001443269
6367.685112,-1396401.161,0.0002549,1.837635869,0.000231232
14939.67281,-14310493.26,0.0002549,1.848407747,1.23493E-05
19582.59369,-83524009.19,0.0002548,1.854059213,-0.001160861
21860.02593,-55554227.05,0.0002549,1.857104119,-0.000686697
24248.29576,-47514454.72,0.0002549,1.860105307,-0.00055043
19815.56287,-93382651.92,0.0002548,1.854168971,-0.001327957
28695.5278,-1349858.658,0.0002549,1.865876864,0.000232021
21974.17932,-72682359.04,0.0002548,1.857247568,-0.000977104
31118.85976,-63290557.2,0.0002549,1.868922112,-0.000817821
20179.37855,-105408659,0.0002548,1.854626155,-0.001531787
11402.17087,-21099728.1,0.0002549,1.84396239,-0.000102723
10667.34477,-33848669.13,0.0002549,1.842855981,-0.000318806
14726.72026,-99426680.42,0.0002512,1.826363142,-0.001433998
3652.401266,-118432907.9,1.10E-06,0.110729743,-0.002006237
16543.3863,-60992661.21,0.0002549,1.850240032,-0.000778874
7361.127919,-103045869.3,3.70E-06,0.230131266,-0.00174284
19607.39018,-80869165.93,0.0002549,1.854090373,-0.001115764
1677.298132,-89469216.87,4.00E-07,0.057373755,-0.001516027
24075.76723,-2392992.547,0.0002549,1.859888501,0.000214341
12408.28613,-34110978.01,0.0002549,1.845226712,-0.000323252
15268.43501,-81360132.24,0.0002548,1.848454881,-0.001124185
19183.23443,-50787924,0.0002549,1.853740363,-0.000605912
14094.90673,-91335269.87,0.0002534,1.839843182,-0.001294655
3872.029993,-21753393.16,2.38E-04,1.723052736,-0.000130802
5929.518336,-39281923.42,0.000233,1.697822252,-0.000432795
15821.15445,-80912618.99,0.0002548,1.849149449,-0.0011166
20652.35448,-60042350.48,0.0002549,1.855586514,-0.000762767
8232.466369,-45430575.7,0.0002543,1.836136222,-0.00051571
11131.29851,-63100155.41,0.0002546,1.842158002,-0.000814894
30723.48768,-41300792.79,0.000255,1.868242273,-0.000445013
10016.72001,-74880317.87,0.0001929,1.466522382,-0.001076258
