,h,T,M,Lambda_lhs,e
4244,29468.03579,-43561209.33,1.866847626,2.55E-04,-4.83E-04
4245,7414.125273,-46615283.4,1.802350865,2.49E-04,-5.41E-04
4246,27709.03253,-17137816.38,1.864637197,0.0002549,-3.56E-05
4247,15169.95763,-24973625.4,1.848697131,0.0002549,-1.68E-04
4248,18719.75319,-23418327.44,1.853157936,0.0002549,-1.42E-04
4249,18681.54325,-40837028.14,1.85310992,0.0002549,-4.37E-04
4250,18661.51396,-14741652.33,1.85308475,2.55E-04,5.14E-06
4251,22422.77911,-39203358.45,1.857994295,0.0002549,-4.10E-04
4252,1484.532065,-38286298.02,0.061340518,4.00E-07,-6.49E-04
4253,16740.66831,-40362491.45,1.850670944,2.55E-04,-4.29E-04
4254,30139.33078,-25294802.18,1.8676912,0.0002549,-1.74E-04
4255,22606.59023,-18974236.86,1.858042279,2.55E-04,-6.66E-05
4256,21307.39863,-17885541.66,1.856409667,2.55E-04,-4.81E-05
4257,17577.86524,-18230736.4,1.851722997,0.0002549,-5.41E-05
4258,9481.168912,-8264074.171,1.841365388,2.55E-04,1.15E-04
4259,18533.0965,-41081310.27,1.852923376,0.0002549,-4.41E-04
4260,22096.18925,-41123222.53,1.85740089,0.0002549,-4.42E-04
4261,4308.924438,-2770947.046,1.834865754,2.55E-04,2.08E-04
4262,3617.251877,-32579714.98,0.443379573,4.59E-05,-5.06E-04
4263,7746.27836,-11071698.26,1.83936826,2.55E-04,6.73E-05
4264,19849.41892,-27658814.94,1.854760515,0.0002549,-2.14E-04
4265,12776.49001,-45752465.15,1.845506411,2.55E-04,-5.20E-04
4266,28302.80287,-32075916.1,1.865383351,2.55E-04,-2.89E-04
4267,30819.44718,-25965045.81,1.86836286,0.0002549,-1.85E-04
4268,10681.05071,-63820.24949,1.843239204,0.0002549,2.54E-04
4269,20419.58439,-11713666.13,1.855294007,2.55E-04,5.65E-05
4270,18291.47161,-42622813.3,1.852619741,0.0002549,-4.68E-04
4271,23438.73667,-16815215.75,1.859270985,2.55E-04,-3.00E-05
4272,12787.89108,-15566256.23,1.845703738,0.0002549,-8.93E-06
4273,9277.831664,-5511153.757,1.841292867,2.55E-04,1.62E-04
4274,2762.177909,-24767539.89,0.473598055,5.38E-05,-3.66E-04
